num,x,y,z,group
0,-0.577350269,-0.577350269,0.577350269,bvec
1,0.651328809,-0.71437279,0.255816925,bvec
2,0.658589014,0.698843015,0.279068006,bvec
3,0.427746911,0.205378957,-0.880256817,bvec
4,0.235297003,-0.706009007,-0.667972007,bvec
5,-0.565722154,0.077093121,-0.820984224,bvec
6,-0.971015976,-0.037072599,0.236121994,bvec
7,0.147190069,0.872752407,-0.465444217,bvec
8,-0.232579054,-0.414694097,-0.879736205,bvec
9,-0.764774284,0.535815199,0.357802133,bvec
10,-0.105097981,-0.98606582,-0.128951977,bvec
11,0.14895099,-0.504832967,0.850268945,bvec
12,-0.935290534,-0.141966929,-0.324155839,bvec
0,-0.577350269,-0.57735027,0.57735027,bvec.x45
1,0.651328809,-0.714372792,0.255816925,bvec.x45
2,0.658589014,0.698843016,0.279068006,bvec.x45
3,0.427746911,0.205378958,-0.880256819,bvec.x45
4,0.235297003,-0.706009009,-0.667972008,bvec.x45
5,-0.565722154,0.077093121,-0.820984225,bvec.x45
6,-0.971015976,-0.037072599,0.236121995,bvec.x45
7,0.147190069,0.872752409,-0.465444218,bvec.x45
8,-0.232579054,-0.414694097,-0.879736206,bvec.x45
9,-0.764774284,0.5358152,0.357802134,bvec.x45
10,-0.105097981,-0.986065822,-0.128951977,bvec.x45
11,0.14895099,-0.504832968,0.850268946,bvec.x45
12,-0.935290534,-0.14196693,-0.324155839,bvec.x45
0,0.577350269,-0.577350269,0.577350269,orig
1,-0.651328809,-0.71437279,0.255816925,orig
2,-0.658589014,0.698843015,0.279068006,orig
3,-0.427746911,0.205378957,-0.880256817,orig
4,-0.235297002,-0.706009007,-0.667972007,orig
5,0.565722154,0.077093121,-0.820984223,orig
6,0.971015976,-0.037072599,0.236121994,orig
7,-0.147190069,0.872752407,-0.465444217,orig
8,0.232579054,-0.414694097,-0.879736205,orig
9,0.764774284,0.535815199,0.357802133,orig
10,0.105097981,-0.98606582,-0.128951977,orig
11,-0.14895099,-0.504832967,0.850268944,orig
12,0.935290534,-0.141966929,-0.324155839,orig
0,0.577350269,0,0.816496581,x45.mrtx
1,-0.651328808,-0.324247962,0.686027727,x45.mrtx
2,-0.658589013,0.691487514,-0.296825756,x45.mrtx
3,-0.427746911,-0.477210711,-0.767660418,x45.mrtx
4,-0.235297002,-0.971551293,0.026896221,x45.mrtx
5,0.565722153,-0.526010443,-0.635036581,x45.mrtx
6,0.971015976,0.140749177,0.19317775,x45.mrtx
7,-0.147190068,0.288010383,-0.946247908,x45.mrtx
8,0.232579054,-0.915300444,-0.328834428,x45.mrtx
9,0.764774284,0.631882876,-0.125874246,x45.mrtx
10,0.105097981,-0.788436645,0.606071011,x45.mrtx
11,-0.14895099,0.244260122,0.958201751,x45.mrtx
12,0.935290534,-0.329598571,-0.128827013,x45.mrtx
0,0.577350269,8.30E-09,0.816496581,x45.ants
1,-0.651328808,-0.324247955,0.686027731,x45.ants
2,-0.658589013,0.691487511,-0.296825762,x45.ants
3,-0.42774691,-0.477210719,-0.767660413,x45.ants
4,-0.235297002,-0.971551292,0.026896231,x45.ants
5,0.565722153,-0.52601045,-0.635036575,x45.ants
6,0.971015976,0.140749179,0.193177748,x45.ants
7,-0.147190068,0.288010374,-0.946247911,x45.ants
8,0.232579054,-0.915300447,-0.328834419,x45.ants
9,0.764774284,0.631882875,-0.125874253,x45.ants
10,0.105097981,-0.788436639,0.606071019,x45.ants
11,-0.14895099,0.244260132,0.958201748,x45.ants
12,0.935290534,-0.329598572,-0.12882701,x45.ants